timestamp,posX,posY,posZ,velX,velY,velZ,accX,accY,accZ,gyroX,gyroY,gyroZ,yaw,pitch,roll,quatX,quatY,quatZ,quatW
13068,-0.03400496,-0.02421996,-0.1501857,-0.1726825,-0.1031083,-0.3362736,9.902772,0.09098291,-0.9577149,107.625,-7.5,-25.5,45.8144,-85.66465,155.2054,-0.7165734,-0.6729196,0.1443444,0.1134306
13080,-0.03633035,-0.02553015,-0.154452,-0.1786978,-0.1006832,-0.3278506,10.37205,0.004788574,-1.106161,87.625,-8.75,-20,47.14212,-85.48022,154.6674,-0.7162889,-0.6713087,0.1501459,0.1171804
13091,-0.03873395,-0.02681143,-0.1585239,-0.185678,-0.09897882,-0.3145511,10.74077,0.04788574,-1.249818,62.875,-8.625,-14.125,47.53337,-85.3196,154.7388,-0.7164555,-0.6699731,0.1535894,0.1193231
13103,-0.0412326,-0.02809511,-0.1624483,-0.1908827,-0.09806558,-0.2998013,10.84133,0.1676001,-1.173201,44.875,-8.875,-9.5,47.48557,-85.18806,155.0159,-0.7168497,-0.6689636,0.1553835,0.1202914
13114,-0.04374998,-0.02938432,-0.1661871,-0.1943618,-0.09953783,-0.2886634,10.56838,0.3830859,-1.130104,40,-10.625,-7.125,47.34972,-85.04263,155.313,-0.7174088,-0.6679404,0.1567871,0.120822
13126,-0.04636877,-0.03074694,-0.1698834,-0.1997095,-0.1039137,-0.2818842,10.19966,0.5267432,-1.350378,50,-11.25,-7.5,47.30423,-84.84618,155.6528,-0.7180409,-0.6664863,0.1591805,0.121963
13137,-0.0490311,-0.03211504,-0.1734126,-0.2078165,-0.1067911,-0.2754835,10.17093,0.3352002,-1.54671,56.25,-9.375,-7,46.9354,-84.66869,156.3909,-0.7186065,-0.6649093,0.1617823,0.1238016
13149,-0.05186237,-0.03347531,-0.17691,-0.2165071,-0.10402,-0.267446,10.3098,-0.09098291,-1.436572,36.5,-7.125,-2.375,45.61952,-84.58344,157.8258,-0.7193181,-0.6638522,0.1621387,0.1248716
13160,-0.05476804,-0.03477953,-0.1802974,-0.2225207,-0.09987938,-0.2594083,10.32895,-0.1292915,-1.225875,1.875,-7.125,4.125,43.60553,-84.55857,159.5023,-0.7204465,-0.6635488,0.1592788,0.1236539
13172,-0.05789186,-0.03618185,-0.183777,-0.2260033,-0.1014552,-0.2517478,10.25234,0.3304116,-1.216298,-19.625,-9.5,8.75,41.48911,-84.49458,160.9576,-0.7221146,-0.6634531,0.1545837,0.1203518
13184,-0.06088271,-0.03757097,-0.1869714,-0.2293951,-0.1065439,-0.2450019,10.19487,0.5698403,-1.350378,-10.5,-11.875,9.375,39.67248,-84.37433,162.2671,-0.7237865,-0.6629136,0.1510591,0.1177284
13195,-0.06395741,-0.03901597,-0.1901117,-0.2339955,-0.10997,-0.2389918,10.13262,0.3974517,-1.412629,8.375,-13.25,7.625,37.84833,-84.22545,163.8299,-0.7253433,-0.6618762,0.1489791,0.1166282
13207,-0.06711809,-0.04047978,-0.1931915,-0.2398456,-0.1110797,-0.2337077,10.07516,0.1771773,-1.465304,19.75,-13.75,5.25,36.09935,-84.06033,165.4694,-0.726803,-0.6605673,0.1477966,0.116466
13219,-0.07067288,-0.04208812,-0.1964825,-0.2461087,-0.1113503,-0.2278412,10.07995,0.1005601,-1.470092,29.125,-13.25,2.375,34.61372,-83.87827,166.9729,-0.7281474,-0.6590656,0.1474776,0.1169795
13231,-0.0740239,-0.04355576,-0.1994942,-0.2498335,-0.1094185,-0.224535,9.94108,-0.01436572,-1.278549,32.375,-13.125,0.625,33.45596,-83.73653,168.1924,-0.7291445,-0.657833,0.1474589,0.1177284
13243,-0.07730305,-0.0449367,-0.2024185,-0.2523394,-0.1062672,-0.2250377,9.668132,-0.09577148,-1.158835,27.125,-13.625,-0.125,32.40023,-83.60745,169.2407,-0.730117,-0.6567915,0.1470408,0.1180391
13254,-0.08059595,-0.04628782,-0.2053669,-0.2548089,-0.1045518,-0.2281508,9.457435,-0.004788574,-1.201932,23.375,-14.125,-1.75,31.69202,-83.45761,169.8933,-0.7311617,-0.6557727,0.1465875,0.1178003
13266,-0.08390545,-0.04764273,-0.2083407,-0.2569688,-0.1052028,-0.2309045,9.4718,0.1771773,-1.278549,34.125,-14.25,-5.5,31.65875,-83.28546,170.0108,-0.7320138,-0.6546052,0.1474132,0.1179713
13277,-0.08735261,-0.04907598,-0.2114474,-0.2580018,-0.1072714,-0.2325144,9.562783,0.3208345,-1.273761,60.375,-13.875,-11.25,32.46037,-83.10161,169.6505,-0.7323348,-0.6531196,0.1508746,0.1198227
13289,-0.09063118,-0.05045665,-0.2144285,-0.2575061,-0.1084406,-0.2341439,9.567572,0.3208345,-1.168412,86.125,-13.5,-15.875,33.69385,-82.93991,169.169,-0.7320572,-0.6514721,0.1563735,0.1233849
13300,-0.09397812,-0.05184832,-0.2175105,-0.2569434,-0.1068379,-0.2366026,9.519686,0.1340801,-1.096583,95.875,-13.5,-17.125,34.82627,-82.79018,168.9357,-0.7315323,-0.6496468,0.1626236,0.1279576
13312,-0.09741298,-0.05312517,-0.219671,-0.2609084,-0.09698796,-0.1641084,15.17978,-0.4405488,-1.857967,75.625,-4,-15,35.40544,-82.77224,169.0027,-0.7307183,-0.6487867,0.1667401,0.1316218
13324,-0.1010087,-0.05416069,-0.2203036,-0.2597512,-0.07480488,-0.045701,18.30672,-1.034332,-1.474881,21.375,5.875,-0.875,34.42975,-82.99722,169.8983,-0.7299058,-0.6499758,0.16508,0.1323542
13336,-0.1045372,-0.05532416,-0.2212557,-0.248956,-0.08209053,-0.0671799,8.236348,0.9768692,-0.4549146,-7.25,14.625,0.25,35.87896,-83.33274,167.944,-0.7282836,-0.6531372,0.162403,0.1289968
13348,-0.107656,-0.05661169,-0.2223597,-0.2277996,-0.09404238,-0.08063129,8.806189,1.68079,0.08619434,39.75,-0.125,-6.25,38.86226,-83.49419,165.1125,-0.7263634,-0.654782,0.1647646,0.1284887
